 1.000000e+01 -1.711150e-02  1.000000e+01 -6.274936e-02 
 1.258925e+01 -2.708875e-02  1.258925e+01 -7.893626e-02 
 1.584893e+01 -4.285481e-02  1.584893e+01 -9.925455e-02 
 1.995262e+01 -6.772568e-02  1.995262e+01 -1.247154e-01 
 2.511886e+01 -1.068539e-01  2.511886e+01 -1.565353e-01 
 3.162278e+01 -1.681548e-01  3.162278e+01 -1.961373e-01 
 3.981072e+01 -2.635717e-01  3.981072e+01 -2.451086e-01 
 5.011872e+01 -4.106301e-01  5.011872e+01 -3.050746e-01 
 6.309573e+01 -6.339582e-01  6.309573e+01 -3.774355e-01 
 7.943282e+01 -9.659442e-01  7.943282e+01 -4.629203e-01 
 1.000000e+02 -1.445070e+00  1.000000e+02 -5.609821e-01 
 1.258925e+02 -2.110379e+00  1.258925e+02 -6.692328e-01 
 1.584893e+02 -2.992137e+00  1.584893e+02 -7.833027e-01 
 1.995262e+02 -4.102142e+00  1.995262e+02 -8.974812e-01 
 2.511886e+02 -5.429399e+00  2.511886e+02 -1.006031e+00 
 3.162278e+02 -6.944158e+00  3.162278e+02 -1.104518e+00 
 3.981072e+02 -8.607516e+00  3.981072e+02 -1.190480e+00 
 5.011872e+02 -1.038085e+01  5.011872e+02 -1.263312e+00 
 6.309573e+02 -1.223149e+01  6.309573e+02 -1.323707e+00 
 7.943282e+02 -1.413454e+01  7.943282e+02 -1.373051e+00 
 1.000000e+03 -1.607224e+01  1.000000e+03 -1.412965e+00 
 1.258925e+03 -1.803246e+01  1.258925e+03 -1.445042e+00 
 1.584893e+03 -2.000717e+01  1.584893e+03 -1.470712e+00 
 1.995262e+03 -2.199114e+01  1.995262e+03 -1.491198e+00 
 2.511886e+03 -2.398100e+01  2.511886e+03 -1.507520e+00 
 3.162278e+03 -2.597458e+01  3.162278e+03 -1.520510e+00 
 3.981072e+03 -2.797053e+01  3.981072e+03 -1.530840e+00 
 5.011872e+03 -2.996797e+01  5.011872e+03 -1.539051e+00 
 6.309573e+03 -3.196636e+01  6.309573e+03 -1.545577e+00 
 7.943282e+03 -3.396534e+01  7.943282e+03 -1.550763e+00 
 1.000000e+04 -3.596470e+01  1.000000e+04 -1.554882e+00 
 1.258925e+04 -3.796429e+01  1.258925e+04 -1.558155e+00 
 1.584893e+04 -3.996404e+01  1.584893e+04 -1.560755e+00 
 1.995262e+04 -4.196387e+01  1.995262e+04 -1.562820e+00 
 2.511886e+04 -4.396377e+01  2.511886e+04 -1.564460e+00 
 3.162278e+04 -4.596371e+01  3.162278e+04 -1.565763e+00 
 3.981072e+04 -4.796367e+01  3.981072e+04 -1.566799e+00 
 5.011872e+04 -4.996364e+01  5.011872e+04 -1.567621e+00 
 6.309573e+04 -5.196362e+01  6.309573e+04 -1.568274e+00 
 7.943282e+04 -5.396361e+01  7.943282e+04 -1.568793e+00 
 1.000000e+05 -5.596361e+01  1.000000e+05 -1.569205e+00 
